Rt,Rt_1,Rt_2,Rt_3,Rt_4,Rt_5,Qt
0,0,0,0,0,0,39
0,0,0,0,0,0,38
0,0,0,0,0,0,36.7
0,0,0,0,0,0,36
0,0,0,0,0,0,35
0,0,0,0,0,0,34.3
0,0,0,0,0,0,34
0,0,0,0,0,0,33
0,0,0,0,0,0,31.7
0,0,0,0,0,0,31
0,0,0,0,0,0,30
0,0,0,0,0,0,29.2
0,0,0,0,0,0,28.7
0,0,0,0,0,0,28.1
0,0,0,0,0,0,27.6
0,0,0,0,0,0,27.3
0,0,0,0,0,0,26.3
0,0,0,0,0,0,25.5
0,0,0,0,0,0,24.7
0,0,0,0,0,0,24.4
0,0,0,0,0,0,23.6
0,0,0,0,0,0,22.8
0,0,0,0,0,0,22.5
0,0,0,0,0,0,22
0,0,0,0,0,0,21.4
0,0,0,0,0,0,20.8
0,0,0,0,0,0,20.8
0,0,0,0,0,0,20.2
0,0,0,0,0,0,20.2
0,0,0,0,0,0,20.8
0,0,0,0,0,0,20.2
1.538,0,0,0,0,0,21.4
22.648,1.538,0,0,0,0,143.3
0,22.648,1.538,0,0,0,42.5
0,0,22.648,1.538,0,0,29.7
0,0,0,22.648,1.538,0,26.3
0,0,0,0,22.648,1.538,24.4
0,0,0,0,0,22.648,23.6
0,0,0,0,0,0,22.8
0,0,0,0,0,0,21.6
0,0,0,0,0,0,20.8
0,0,0,0,0,0,20.6
0,0,0,0,0,0,20.2
0,0,0,0,0,0,19.6
0,0,0,0,0,0,19.2
0,0,0,0,0,0,18.8
0,0,0,0,0,0,18.4
0,0,0,0,0,0,17.8
0,0,0,0,0,0,17.8
1.472,0,0,0,0,0,19.8
0,1.472,0,0,0,0,20.2
0,0,1.472,0,0,0,19.2
0,0,0,1.472,0,0,18.6
0,0,0,0,1.472,0,17.8
0,0,0,0,0,1.472,17.2
0,0,0,0,0,0,16.6
0,0,0,0,0,0,16
2.016,0,0,0,0,0,20.2
0,2.016,0,0,0,0,19
0,0,2.016,0,0,0,18.4
0,0,0,2.016,0,0,18.4
0,0,0,0,2.016,0,17.8
0,0,0,0,0,2.016,17.6
0,0,0,0,0,0,17.2
0,0,0,0,0,0,16.8
0,0,0,0,0,0,16.2
0,0,0,0,0,0,16
0,0,0,0,0,0,15.6
0,0,0,0,0,0,15.7
1.104,0,0,0,0,0,16.4
0,1.104,0,0,0,0,16.6
0,0,1.104,0,0,0,15.9
0,0,0,1.104,0,0,15.5
0,0,0,0,1.104,0,15.4
0,0,0,0,0,1.104,15
6.425,0,0,0,0,0,16.7
1.472,6.425,0,0,0,0,23.6
0,1.472,6.425,0,0,0,22.3
0,0,1.472,6.425,0,0,19.4
0,0,0,1.472,6.425,0,18.8
0,0,0,0,1.472,6.425,17.4
0,0,0,0,0,1.472,16.8
0,0,0,0,0,0,16
0,0,0,0,0,0,15.7
0,0,0,0,0,0,15.4
0,0,0,0,0,0,15
0,0,0,0,0,0,14.6
0,0,0,0,0,0,14.2
0,0,0,0,0,0,13.8
0,0,0,0,0,0,13.5
0,0,0,0,0,0,13.5
0,0,0,0,0,0,13.3
0,0,0,0,0,0,12.9
0.184,0,0,0,0,0,12.7
0,0.184,0,0,0,0,12.5
0,0,0.184,0,0,0,13.3
0,0,0,0.184,0,0,13
0,0,0,0,0.184,0,13
0,0,0,0,0,0.184,12.7
0,0,0,0,0,0,12.7
0,0,0,0,0,0,12.7
0,0,0,0,0,0,12.4
0,0,0,0,0,0,12.4
0,0,0,0,0,0,12.1
0,0,0,0,0,0,12
0,0,0,0,0,0,11.7
0,0,0,0,0,0,11.5
0,0,0,0,0,0,11.2
0,0,0,0,0,0,11.1
0,0,0,0,0,0,10.9
0,0,0,0,0,0,10.9
0,0,0,0,0,0,10.6
0,0,0,0,0,0,10.6
0,0,0,0,0,0,10.3
0,0,0,0,0,0,10
0,0,0,0,0,0,10
0,0,0,0,0,0,10
0,0,0,0,0,0,10
0.046,0,0,0,0,0,10
0,0.046,0,0,0,0,9.87
0,0,0.046,0,0,0,9.8
0,0,0,0.046,0,0,9.8
0,0,0,0,0.046,0,9.6
0,0,0,0,0,0.046,9.6
0,0,0,0,0,0,9.53
0,0,0,0,0,0,9.4
0,0,0,0,0,0,9.4
0,0,0,0,0,0,9.27
0,0,0,0,0,0,9.2
0,0,0,0,0,0,9.2
0,0,0,0,0,0,9
0,0,0,0,0,0,9
0,0,0,0,0,0,8.87
0,0,0,0,0,0,8.8
0,0,0,0,0,0,8.8
0,0,0,0,0,0,8.73
0,0,0,0,0,0,8.6
0,0,0,0,0,0,8.6
0,0,0,0,0,0,8.53
0,0,0,0,0,0,8.4
0,0,0,0,0,0,9.27
0,0,0,0,0,0,9.27
0,0,0,0,0,0,8.95
0,0,0,0,0,0,8.72
0,0,0,0,0,0,8.49
0,0,0,0,0,0,8.38
0,0,0,0,0,0,8.32
1.323,0,0,0,0,0,8.43
0,1.323,0,0,0,0,8.49
0,0,1.323,0,0,0,8.66
0,0,0,1.323,0,0,8.6
0,0,0,0,1.323,0,8.55
0,0,0,0,0,1.323,8.72
0,0,0,0,0,0,8.49
0,0,0,0,0,0,8.32
0.138,0,0,0,0,0,8.32
7.734,0.138,0,0,0,0,18.49
1.33,7.734,0.138,0,0,0,8.55
18.659,1.33,7.734,0.138,0,0,41.5
13.807,18.659,1.33,7.734,0.138,0,72.8
30.083,13.807,18.659,1.33,7.734,0.138,112.9
8.941,30.083,13.807,18.659,1.33,7.734,56.8
2.024,8.941,30.083,13.807,18.659,1.33,26.8
1.4,2.024,8.941,30.083,13.807,18.659,21.9
0,1.4,2.024,8.941,30.083,13.807,16.7
0,0,1.4,2.024,8.941,30.083,13.8
0,0,0,1.4,2.024,8.941,12.5
0,0,0,0,1.4,2.024,11.2
0.276,0,0,0,0,1.4,10.6
4.102,0.276,0,0,0,0,13.5
10.371,4.102,0.276,0,0,0,62.5
9.072,10.371,4.102,0.276,0,0,54.5
9.492,9.072,10.371,4.102,0.276,0,55.2
5.156,9.492,9.072,10.371,4.102,0.276,44
7.496,5.156,9.492,9.072,10.371,4.102,32
5.473,7.496,5.156,9.492,9.072,10.371,30
3.232,5.473,7.496,5.156,9.492,9.072,20.7
1.12,3.232,5.473,7.496,5.156,9.492,14.3
1.05,1.12,3.232,5.473,7.496,5.156,12.5
0.966,1.05,1.12,3.232,5.473,7.496,11.9
3.682,0.966,1.05,1.12,3.232,5.473,11.2
0.373,3.682,0.966,1.05,1.12,3.232,15.3
1.932,0.373,3.682,0.966,1.05,1.12,13.5
15.813,1.932,0.373,3.682,0.966,1.05,114.7
1.57,15.813,1.932,0.373,3.682,0.966,50
4.022,1.57,15.813,1.932,0.373,3.682,25.1
0.69,4.022,1.57,15.813,1.932,0.373,17.5
0.046,0.69,4.022,1.57,15.813,1.932,16.1
0,0.046,0.69,4.022,1.57,15.813,13.8
0,0,0.046,0.69,4.022,1.57,13.2
0,0,0,0.046,0.69,4.022,12.3
0,0,0,0,0.046,0.69,11.3
0,0,0,0,0,0.046,10
0,0,0,0,0,0,9.4
